Clusters
"  Kalorama Heights, Adams Morgan, Lanier Heights"
"  Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
"  Howard University, Le Droit Park, Cardozo/Shaw"
"  Georgetown, Burleith/Hillandale"
"  West End, Foggy Bottom, GWU"
"  Dupont Circle, Connecticut Avenue/K Street"
"  Shaw, Logan Circle"
"  Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
"  Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
"  Hawthorne, Barnaby Woods, Chevy Chase"
"  Friendship Heights, American University Park, Tenleytown"
"  North Cleveland Park, Forest Hills, Van Ness"
"  Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
"  Cathedral Heights, McLean Gardens, Glover Park"
"  Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
"  Colonial Village, Shepherd Park, North Portal Estates"
"  Takoma, Brightwood, Manor Park"
"  Brightwood Park, Crestwood, Petworth"
"  Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
"  North Michigan Park, Michigan Park, University Heights"
"  Edgewood, Bloomingdale, Truxton Circle, Eckington"
"  Brookland, Brentwood, Langdon"
"  Ivy City, Arboretum, Trinidad, Carver Langston"
"  Woodridge, Fort Lincoln, Gateway"
"  NoMa, Union Station, Stanton Park, Kingman Park"
"  Capitol Hill, Lincoln Park"
"  Near Southeast, Navy Yard"
  Historic Anacostia
"  Eastland Gardens, Kenilworth"
"  Mayfair, Hillbrook, Mahaning Heights"
"  Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
"  River Terrace, Benning, Greenway, Fort Dupont"
"  Capitol View, Marshall Heights, Benning Heights"
"  Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park"
"  Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
"  Woodland/Fort Stanton, Garfield Heights, Knox Hill"
"  Sheridan, Barry Farm, Buena Vista"
"  Douglass, Shipley Terrace"
"  Congress Heights, Bellevue, Washington Highlands"
